28.11.2021 15:47:40	, документ=618856755000245760	, товар=618856758000277761	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 15:52:12	, документ=618857027000286775	, товар=618857031000229776	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 15:54:35	, документ=618857156000229790	, товар=618857165000220791	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 15:55:55	, документ=618857251000267806	, товар=618857255000229807	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:13:51	, документ=618858312000249822	, товар=618858316000243823	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:19:40	, документ=618858667000249837	, товар=618858673000261838	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:35:00	, документ=618859590000214853	, товар=618859595000236854	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:36:40	, документ=618859693000235868	, товар=618859697000202869	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:48:10	, документ=618860379000214884	, товар=618860383000218885	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:50:23	, документ=618860515000261899	, товар=618860521000275900	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:58:08	, документ=618860981000221915	, товар=618860985000233916	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 16:59:33	, документ=618861070000245930	, товар=618861073000253931	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 17:09:36	, документ=618861660000276945	, товар=618861664000287946	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 17:11:39	, документ=618861794000288961	, товар=618861800000230962	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 17:15:29	, документ=618862023000235976	, товар=618862027000293977	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 17:29:03	, документ=618862834000287992	, товар=618862839000272993	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 17:31:55	, документ=618862952000270007	, товар=618862957000239008	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 18:47:18	, документ=618867468000207205	, товар=618867472000257206	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
28.11.2021 18:53:38	, документ=618867905000276220	, товар=618867910000228221	, тип расчёта=Default	, тип документа=0	, цена = 114800	, матрикс = 010290000141851521%u<jPSO7GBM<S91802992OaU9JZK+6kcvgrR6hGpUTBkXWcZNAkfSWb1U+aIhi0u8+pw6bZnPb/GGq10Q72xXG8dDOMF65Q4SaUspsylcJw==
